date,open,high,low,close,volume,openinterest
2016-09-12,605.6,610.6,603,608,605600,0
2016-09-13,608,612,604.9,608.6,608000,0
2016-09-14,608.6,612.2,606.4,609.5,608600,0
2016-09-15,609.5,610.7,605.1,608.1,609500,0
2016-09-16,608.1,610.4,605.2,607.8,608100,0
2016-09-17,607.8,609.6,604.5,607.1,607800,0
2016-09-18,607.1,612.4,605.2,610.7,607100,0
2016-09-19,610.7,612.4,607,609.8,610700,0
2016-09-20,609.8,611.3,605.9,609.2,609800,0
2016-09-21,609.2,608.8,591.7,597.2,609200,0
2016-09-22,597.2,599.8,592.8,595.6,597200,0
2016-09-23,595.6,603.7,594.1,602.9,595600,0
2016-09-24,602.9,605.9,600.5,602.6,602900,0
2016-09-25,602.6,604.9,598.3,601.5,602600,0
2016-09-26,601.5,608.5,598.2,606.5,601500,0
2016-09-27,606.5,609,601.7,605.5,606500,0
2016-09-28,605.5,606.9,602.6,604.7,605500,0
2016-09-29,604.7,607.2,602,604.7,604700,0
2016-09-30,604.7,608.8,602.3,608.1,604700,0
2016-10-01,608.1,615,607.1,613.4,608100,0
2016-10-02,613.4,614.2,607.7,610.7,613400,0
2016-10-03,610.7,613.2,608.5,611.6,610700,0
2016-10-04,611.6,612.7,606.5,609,611600,0
2016-10-05,609,613.7,608,611.8,609000,0
2016-10-06,611.8,612.7,608.5,611,611800,0
2016-10-07,611,619.4,609.1,616,611000,0
2016-10-08,616,619.6,614.9,617.7,616000,0
2016-10-09,617.7,618.3,613,615.8,617700,0
2016-10-10,615.8,618.8,612.8,617.3,615800,0
2016-10-11,617.3,642.3,615.6,640.5,617300,0
2016-10-12,640.5,642.5,632.2,636,640500,0
2016-10-13,636,639.5,632.3,635.6,636000,0
2016-10-14,635.6,640.5,630.7,637.9,635600,0
2016-10-15,637.9,641.4,635.1,637,637900,0
2016-10-16,637,642.2,636.4,640.1,637000,0
2016-10-17,640.1,641.3,634.9,637.4,640100,0
2016-10-18,637.4,639.3,632.2,635.3,637400,0
2016-10-19,635.3,637.3,624.1,629.1,635300,0
2016-10-20,629.1,630.8,625.5,628.3,629100,0
2016-10-21,628.3,633.3,627.6,630.5,628300,0
2016-10-22,630.5,659.9,629.7,655.5,630500,0
2016-10-23,655.5,661.2,648.8,653,655500,0
2016-10-24,653,654.3,645.7,650.5,653000,0
2016-10-25,650.5,662.5,647.7,651,650500,0
2016-10-26,651,678.4,651.4,674.7,651000,0
2016-10-27,674.7,687.9,672.3,682.3,674700,0
2016-10-28,682.3,688.4,678.6,686.2,682300,0
2016-10-29,686.2,720.2,685.2,715,686200,0
2016-10-30,715,714.9,689.5,697.3,715000,0
2016-10-31,697.3,707.2,682.2,698.7,697300,0
2016-11-01,698.7,734.4,695.2,726.8,698700,0
2016-11-02,726.8,735.8,718.1,733.5,726800,0
2016-11-03,733.5,744.4,670.4,684.9,733500,0
2016-11-04,684.9,706.6,681.3,702.1,684900,0
2016-11-05,702.1,706.4,694,702.1,702100,0
2016-11-06,702.1,714.1,697.6,709.9,702100,0
2016-11-07,709.9,711.7,698.3,705.4,709900,0
2016-11-08,705.4,714.6,701,710.9,705400,0
2016-11-09,710.9,741.2,707.1,721.4,710900,0
2016-11-10,721.4,723,707.3,714.6,721400,0
2016-11-11,714.6,719.8,711.7,715,714600,0
2016-11-12,715,717.4,701.1,704.3,715000,0
2016-11-13,704.3,705.6,685,702,704300,0
2016-11-14,702,708,696.1,704.6,702000,0
2016-11-15,704.6,716.9,697.9,711.1,704600,0
2016-11-16,711.1,746,708.1,740.3,711100,0
2016-11-17,740.3,751.9,730.1,737.5,740300,0
2016-11-18,737.5,751.4,731,747,737500,0
2016-11-19,747,755.3,737.4,747.9,747000,0
2016-11-20,747.9,752.3,712.8,728.5,747900,0
2016-11-21,728.5,744.3,726.5,736.2,728500,0
2016-11-22,736.2,754,730.6,749.3,736200,0
2016-11-23,749.3,750.9,731.3,741.1,749300,0
2016-11-24,741.1,744.2,726.2,735.3,741100,0
2016-11-25,735.3,741.3,729,740.4,735300,0
2016-11-26,740.4,741,725.6,734.1,740400,0
2016-11-27,734.1,738.3,727.1,729.4,734100,0
2016-11-28,729.4,738.1,727.7,733.3,729400,0
2016-11-29,733.3,737,727.8,732.6,733300,0
2016-11-30,732.6,745.4,730.6,742.5,732600,0
2016-12-01,742.5,755.5,741.1,752.6,742500,0
2016-12-02,752.6,779,752.3,770.9,752600,0
2016-12-03,770.9,772.3,755.8,764.2,770900,0
2016-12-04,764.2,769.2,758.8,766.4,764200,0
2016-12-05,766.4,769.2,746,754.3,766400,0
2016-12-06,754.3,762.5,750.9,758.2,754300,0
2016-12-07,758.2,769,754.3,765.6,758200,0
2016-12-08,765.6,773.4,761.2,768.5,765600,0
2016-12-09,768.5,773.5,765,770.5,768500,0
2016-12-10,770.5,777,769.2,774,770500,0
2016-12-11,774,774.2,763,767.9,774000,0
2016-12-12,767.9,781.3,767.9,778.5,767900,0
2016-12-13,778.5,790.3,767.8,778.7,778500,0
2016-12-14,778.7,780.8,771,776.5,778700,0
2016-12-15,776.5,780.3,773.1,775.2,776500,0
2016-12-16,775.2,783.9,773.3,782,775200,0
2016-12-17,782,791.6,779.4,787.2,782000,0
2016-12-18,787.2,791.3,783.8,789,787200,0
2016-12-19,789,793.7,786.3,789.8,789000,0
2016-12-20,789.8,800,787.1,799.1,789800,0
2016-12-21,799.1,833.1,796,829.2,799100,0
2016-12-22,829.2,874.7,828.9,860.2,829200,0
2016-12-23,860.2,920.3,858,917.2,860200,0
2016-12-24,917.2,920.5,880.8,891.1,917200,0
2016-12-25,891.1,895.2,851.4,891.1,891100,0
2016-12-26,891.1,909.3,885.9,898.4,891100,0
2016-12-27,898.4,937.9,893.4,925.8,898400,0
2016-12-28,925.8,974.5,925.5,972.2,925800,0
2016-12-29,972.2,982.6,949.2,971.1,972200,0
2016-12-30,971.1,971.6,927.4,959,971100,0
2016-12-31,959,965.5,942.4,963.4,959000,0
2017-01-01,963.4,"1,001.60",956.1,995.4,963400,0
2017-01-02,995.4,"1,031.70",990.2,"1,017.00",995400,0
2017-01-03,"1,017.00","1,035.50","1,006.50","1,033.30",1017000,0
2017-01-04,"1,033.30","1,148.50","1,022.30","1,135.40",1033300,0
2017-01-05,"1,135.40","1,150.60",874.5,989.3,1135400,0
2017-01-06,989.3,"1,027.40",852.5,886.2,989300,0
2017-01-07,886.2,900.9,806.7,888.9,886200,0
2017-01-08,888.9,936.1,875.8,900.9,888900,0
2017-01-09,900.9,910.5,870.9,899.8,900900,0
2017-01-10,899.8,911.3,890.1,904.4,899800,0
2017-01-11,904.4,917.7,751.6,785.4,904400,0
2017-01-12,785.4,828.2,739.5,810.1,785400,0
2017-01-13,810.1,835,771,824.8,810100,0
2017-01-14,824.8,838.9,808.3,819.6,824800,0
2017-01-15,819.6,826.4,808.6,821.2,819600,0
2017-01-16,821.2,836.7,817.7,827.3,821200,0
2017-01-17,827.3,906.4,825,899.7,827300,0
2017-01-18,899.7,913.7,845.9,872,899700,0
2017-01-19,872,905.3,870.7,895.2,872000,0
2017-01-20,895.2,901.5,878.9,892.9,895200,0
2017-01-21,892.9,928.9,889.5,919.8,892900,0
2017-01-22,919.8,938.4,888.6,918.8,919800,0
2017-01-23,918.8,928,910.8,921.5,918800,0
2017-01-24,921.5,925.6,889.2,893.8,921500,0
2017-01-25,893.8,905.7,883.6,894.4,893800,0
2017-01-26,894.4,919.3,893.5,915.6,894400,0
2017-01-27,915.6,922.6,907.9,918,915600,0
2017-01-28,918,921.9,912.8,918.5,918000,0
2017-01-29,918.5,922.4,912.7,914.5,918500,0
2017-01-30,914.5,922.3,911.5,920.7,914500,0
2017-01-31,920.7,967.5,917.4,965.5,920700,0
2017-02-01,965.5,986.6,959.8,982.4,965500,0
2017-02-02,982.4,"1,009.10",973.5,"1,004.00",982400,0
2017-02-03,"1,004.00","1,023.70",989.2,"1,013.00",1004000,0
2017-02-04,"1,013.00","1,041.00","1,000.40","1,031.80",1013000,0
2017-02-05,"1,031.80","1,033.70","1,004.00","1,016.10",1031800,0
2017-02-06,"1,016.10","1,030.60","1,010.80","1,024.70",1016100,0
2017-02-07,"1,024.70","1,054.10","1,019.90","1,049.60",1024700,0
2017-02-08,"1,049.60","1,069.20","1,020.30","1,055.50",1049600,0
2017-02-09,"1,055.50","1,073.00",924.7,979,1055500,0
2017-02-10,979,"1,005.60",947,997.6,979000,0
2017-02-11,997.6,"1,014.30",983.9,"1,008.30",997600,0
2017-02-12,"1,008.30","1,007.80",992.5,996.5,1008300,0
2017-02-13,996.5,"1,007.60",975.1,995.4,996500,0
2017-02-14,995.4,"1,013.80",986.5,"1,008.30",995400,0
2017-02-15,"1,008.30","1,010.90",999.7,"1,008.20",1008300,0
2017-02-16,"1,008.20","1,040.30","1,007.40","1,031.90",1008200,0
2017-02-17,"1,031.90","1,057.40","1,025.90","1,049.40",1031900,0
2017-02-18,"1,049.40","1,063.20","1,044.70","1,052.30",1049400,0
2017-02-19,"1,052.30","1,056.50","1,037.70","1,048.90",1052300,0
2017-02-20,"1,048.90","1,081.80","1,041.00","1,077.60",1048900,0
2017-02-21,"1,077.60","1,123.00","1,073.50","1,119.00",1077600,0
2017-02-22,"1,119.00","1,132.30","1,094.80","1,120.50",1119000,0
2017-02-23,"1,120.50","1,181.60","1,113.50","1,171.90",1120500,0
2017-02-24,"1,171.90","1,211.70","1,092.40","1,176.50",1171900,0
2017-02-25,"1,176.50","1,180.00","1,116.20","1,149.10",1176500,0
2017-02-26,"1,149.10","1,177.50","1,130.60","1,171.60",1149100,0
2017-02-27,"1,171.60","1,195.80","1,164.30","1,188.80",1171600,0
2017-02-28,"1,188.80","1,208.20","1,175.80","1,189.30",1188800,0
2017-03-01,"1,189.30","1,225.00","1,154.60","1,222.70",1189300,0
2017-03-02,"1,222.70","1,287.00","1,212.00","1,255.50",1222700,0
