ds,yhat
2016.9.12,1326.457708
2016.9.13,1324.85729
2016.9.14,1322.919793
2016.9.15,1320.588886
2016.9.16,1318.432368
2016.9.17,1318.432368
2016.9.18,1318.432368
2016.9.19,1310.750284
2016.9.20,1308.282567
2016.9.21,1305.592884
2016.9.22,1302.640495
2016.9.23,1300.006283
2016.9.24,1300.006283
2016.9.25,1300.006283
2016.9.26,1291.84137
2016.9.27,1289.542881
2016.9.28,1287.186037
2016.9.29,1284.724325
2016.9.30,1282.72975
2016.10.1,1282.72975
2016.10.2,1282.72975
2016.10.3,1277.246787
2016.10.4,1276.041191
2016.10.5,1274.844328
2016.10.6,1273.588343
2016.10.7,1272.823253
2016.10.8,1272.823253
2016.10.9,1272.823253
2016.10.10,1270.951252
2016.10.11,1270.85321
2016.10.12,1270.683709
2016.10.13,1270.358183
2016.10.14,1270.412078
2016.10.15,1270.412078
2016.10.16,1270.412078
2016.10.17,1270.219328
2016.10.18,1270.398747
2016.10.19,1270.360845
2016.10.20,1270.022261
2016.10.21,1269.922186
2016.10.22,1269.922186
2016.10.23,1269.922186
2016.10.24,1268.493652
2016.10.25,1268.036716
2016.10.26,1267.270839
2016.10.27,1266.126639
2016.10.28,1265.157918
2016.10.29,1265.157918
2016.10.30,1265.157918
2016.10.31,1260.893843
2016.11.1,1259.463429
2016.11.2,1257.732442
2016.11.3,1255.643571
2016.11.4,1253.761475
2016.11.5,1253.761475
2016.11.6,1253.761475
2016.11.7,1247.0332
2016.11.8,1244.895575
2016.11.9,1242.522015
2016.11.10,1239.857722
2016.11.11,1237.468666
2016.11.12,1237.468666
2016.11.13,1237.468666
2016.11.14,1229.62853
2016.11.15,1227.252276
2016.11.16,1224.702665
2016.11.17,1221.922488
2016.11.18,1219.475305
2016.11.19,1219.475305
2016.11.20,1219.475305
2016.11.21,1211.786372
2016.11.22,1209.563906
2016.11.23,1207.218407
2016.11.24,1204.692644
2016.11.25,1202.550685
2016.11.26,1202.550685
2016.11.27,1202.550685
2016.11.28,1196.094112
