ds,y,syl
2016.9.12,609.67,0.00205029
2016.9.13,610.92,-0.003437439
2016.9.14,608.82,0.002562334
2016.9.15,610.38,-0.002080671
2016.9.16,609.11,-0.003398401
2016.9.17,607.04,0.007478914
2016.9.18,611.58,-0.002272802
2016.9.19,610.19,-0.002507416
2016.9.20,608.66,-0.016068084
2016.9.21,598.88,-0.002437884
2016.9.22,597.42,-0.005590707
2016.9.23,594.08,0.016496095
2016.9.24,603.88,-0.00354375
2016.9.25,601.74,-0.004586699
2016.9.26,598.98,0.011653144
2016.9.27,605.96,-0.000478579
2016.9.28,605.67,-0.003004937
2016.9.29,603.85,0.009174464
2016.9.30,609.39,0.00891055
2016.10.1,614.82,-0.002992746
2016.10.2,612.98,-0.001843453
2016.10.3,611.85,-0.003644684
2016.10.4,609.62,-0.004002493
2016.10.5,607.18,0.008070095
2016.10.6,612.08,0.008381257
2016.10.7,617.21,-0.004001879
2016.10.8,614.74,0.001480301
2016.10.9,615.65,0.003069926
2016.10.10,617.54,-0.004485539
2016.10.11,614.77,0.032922882
2016.10.12,635.01,0.001496039
2016.10.13,635.96,-0.003050506
2016.10.14,634.02,0.00618277
2016.10.15,637.94,0.005455058
2016.10.16,641.42,-0.00381965
2016.10.17,638.97,-0.00419425
2016.10.18,636.29,-0.011064137
2016.10.19,629.25,-0.002431466
2016.10.20,627.72,0.006690881
2016.10.21,631.92,0.0372832
2016.10.22,655.48,-0.003402087
2016.10.23,653.25,-0.002847302
2016.10.24,651.39,0.0060179
2016.10.25,655.31,-0.005890342
2016.10.26,651.45,0.047233095
2016.10.27,682.22,0.008003283
2016.10.28,687.68,-0.002573872
2016.10.29,685.91,0.017626219
2016.10.30,698,0.005730659
2016.10.31,702,-0.007108262
2016.11.1,697.01,0.052108291
2016.11.2,733.33,-0.064309383
2016.11.3,686.17,-0.003614265
2016.11.4,683.69,0.03086194
2016.11.5,704.79,0.010229998
2016.11.6,712,-0.002865169
2016.11.7,709.96,-0.001394445
2016.11.8,708.97,0.016869543
2016.11.9,720.93,0.000790645
2016.11.10,721.5,-0.008385308
2016.11.11,715.45,-0.016409253
2016.11.12,703.71,-0.002032087
2016.11.13,702.28,0.005952042
2016.11.14,706.46,0.006299012
2016.11.15,710.91,0.001153451
2016.11.16,711.73,0.035448836
2016.11.17,736.96,0.014329136
2016.11.18,747.52,0.001953125
2016.11.19,748.98,-0.026596171
2016.11.20,729.06,0.012989329
2016.11.21,738.53,-0.002112304
2016.11.22,736.97,0.006323188
2016.11.23,741.63,-0.005636234
2016.11.24,737.45,-0.002454404
2016.11.25,735.64,-0.00267794
2016.11.26,733.67,-0.007782791
2016.11.27,727.96,-0.000892906
2016.11.28,727.31,0.007424619
2016.11.29,732.71,0.013620668
2016.11.30,742.69,-0.000861732
