data,bitebi,gold
2016.9.12,-462.9437294,1326.457708
2016.9.13,-499.4773768,1324.85729
2016.9.14,-480.0632297,1322.919793
2016.9.15,-520.5999017,1320.588886
2016.9.16,-499.4758447,1318.432368
2016.9.17,-532.1223806,1318.432368
2016.9.18,-451.4005357,1318.432368
2016.9.19,-467.3610662,1310.750284
2016.9.20,-515.25185,1308.282567
2016.9.21,-513.3421956,1305.592884
2016.9.22,-576.9609984,1302.640495
2016.9.23,-583.7474633,1300.006283
2016.9.24,-648.2248159,1300.006283
2016.9.25,-602.2124955,1300.006283
2016.9.26,-654.6155475,1291.84137
2016.9.27,-739.4645915,1289.542881
2016.9.28,-773.7750211,1287.186037
2016.9.29,-871.6213937,1284.724325
2016.9.30,-909.4247082,1282.72975
2016.10.1,-1000.561952,1282.72975
2016.10.2,-975.8123818,1282.72975
2016.10.3,-1043.178267,1277.246787
2016.10.4,-1135.952546,1276.041191
2016.10.5,-1170.601237,1274.844328
2016.10.6,-1260.855843,1273.588343
2016.10.7,-1283.012911,1272.823253
2016.10.8,-1350.549703,1272.823253
2016.10.9,-1294.570233,1272.823253
2016.10.10,-1323.619343,1270.951252
2016.10.11,-1371.737425,1270.85321
2016.10.12,-1356.323924,1270.683709
2016.10.13,-1392.205389,1270.358183
2016.10.14,-1356.905863,1270.412078
2016.10.15,-1365.229381,1270.412078
2016.10.16,-1249.669766,1270.412078
2016.10.17,-1220.186386,1270.219328
2016.10.18,-1212.219588,1270.398747
2016.10.19,-1144.515056,1270.360845
2016.10.20,-1133.153988,1270.022261
2016.10.21,-1056.787971,1269.922186
2016.10.22,-1031.189378,1269.922186
2016.10.23,-889.6333914,1269.922186
2016.10.24,-842.6511717,1268.493652
2016.10.25,-826.0285341,1268.036716
2016.10.26,-758.6199222,1267.270839
2016.10.27,-756.3748847,1266.126639
2016.10.28,-697.5760868,1265.157918
2016.10.29,-697.3996141,1265.157918
2016.10.30,-588.3134176,1265.157918
2016.10.31,-579.8529752,1260.893843
2016.11.1,-606.6479033,1259.463429
