	gold	Bitcon
0	1326.457708	-462.9437294
1	1324.85729	-499.4773768
2	1322.919793	-480.0632297
3	1320.588886	-520.5999017
4	1318.432368	-499.4758447
5	1318.432368	-532.1223806
6	1318.432368	-451.4005357
7	1310.750284	-467.3610662
8	1308.282567	-515.25185
9	1305.592884	-513.3421956
10	1302.640495	-576.9609984
11	1300.006283	-583.7474633
12	1300.006283	-648.2248159
13	1300.006283	-602.2124955
14	1291.84137	-654.6155475
15	1289.542881	-739.4645915
16	1287.186037	-773.7750211
17	1284.724325	-871.6213937
18	1282.72975	-909.4247082
19	1282.72975	-1000.561952
20	1282.72975	-975.8123818
21	1277.246787	-1043.178267
22	1276.041191	-1135.952546
23	1274.844328	-1170.601237
24	1273.588343	-1260.855843
25	1272.823253	-1283.012911
26	1272.823253	-1350.549703
27	1272.823253	-1294.570233
28	1270.951252	-1323.619343
29	1270.85321	-1371.737425
30	1270.683709	-1356.323924
31	1270.358183	-1392.205389
32	1270.412078	-1356.905863
33	1270.412078	-1365.229381
34	1270.412078	-1249.669766
35	1270.219328	-1220.186386
36	1270.398747	-1212.219588
37	1270.360845	-1144.515056
38	1270.022261	-1133.153988
39	1269.922186	-1056.787971
40	1269.922186	-1031.189378
41	1269.922186	-889.6333914
42	1268.493652	-842.6511717
43	1268.036716	-826.0285341
44	1267.270839	-758.6199222
45	1266.126639	-756.3748847
46	1265.157918	-697.5760868
47	1265.157918	-697.3996141
48	1265.157918	-588.3134176
49	1260.893843	-579.8529752
50	1259.463429	-606.6479033
51	1257.732442	-586.268515
52	1255.643571	-633.2886056
53	1253.761475	-624.5624496
54	1253.761475	-673.8256414
55	1253.761475	-612.1344475
56	1247.0332	-647.6815499
57	1244.895575	-713.8607355
58	1242.522015	-727.1484018
59	1239.857722	-801.1971263
60	1237.468666	-812.1383344
61	1237.468666	-873.2029759
62	1237.468666	-815.1742175
63	1229.62853	-846.2096382
64	1227.252276	-899.905264
65	1224.702665	-893.1693037
66	1221.922488	-940.3010361
67	1219.475305	-918.2723223
68	1219.475305	-941.3212108
69	1219.475305	-841.3724867
70	1211.786372	-827.8235723
71	1209.563906	-835.5692007
72	1207.218407	-782.8339052
73	1204.692644	-785.2090164
74	1202.550685	-720.8929203
75	1202.550685	-705.2453067
76	1202.550685	-571.1714824
77	1196.094112	-528.8762938
78	1194.393554	-513.8620991
79	1192.628686	-444.7407052
80	1190.744094	-437.2566551
81	1189.305392	-369.521114
82	1189.305392	-356.5673648
83	1189.305392	-230.7440392
84	1185.338966	-201.4854511
85	1184.594252	-203.3330687
86	1183.845332	-153.7774142
87	1183.033504	-167.3169518
88	1182.719907	-120.7322028
89	1182.719907	-127.684938
90	1182.719907	-19.1572916
91	1182.379673	-3.268797681
92	1182.900225	-13.34397223
93	1183.428482	34.20168577
94	1183.894464	25.76209369
95	1184.847251	85.23044669
96	1184.847251	99.36987581
97	1184.847251	237.3510889
98	1188.109412	290.9198379
99	1189.721396	326.3222222
100	1191.264811	426.42035
101	1192.657414	476.603327
102	1194.436824	599.4965218
103	1194.436824	680.3600778
104	1194.436824	886.6622355
105	1194.436824	1008.289455
106	1194.436824	1109.52027
107	1194.436824	1271.194144
108	1203.170468	1376.678867
109	1204.621053	1546.637917
110	1206.317826	1664.48714
111	1206.317826	1896.024668
112	1206.317826	2029.694443
113	1206.317826	2128.608702
114	1206.317826	2272.759236
115	1211.634185	2345.019643
116	1212.652863	2465.938878
117	1213.278274	2519.214533
118	1214.059997	2671.329125
119	1214.059997	2711.809356
120	1214.059997	2705.233607
121	1214.895869	2733.417662
122	1216.027775	2681.381372
123	1216.826899	2672.097303
124	1217.235921	2591.910837
125	1217.820577	2610.116274
126	1217.820577	2519.150337
127	1217.820577	2386.530022
128	1218.333075	2296.966521
129	1218.570286	2138.259788
130	1218.56172	2035.976667
131	1218.259408	1878.803922
132	1218.236621	1838.062473
133	1218.236621	1707.845958
134	1218.236621	1556.912032
135	1217.596167	1470.759449
136	1217.677308	1337.496565
137	1217.624199	1282.504952
138	1217.384278	1193.789963
139	1217.524314	1241.504739
140	1217.524314	1218.110629
141	1217.524314	1190.301991
142	1217.883861	1241.12766
143	1218.430993	1255.913663
144	1218.888214	1356.989582
145	1219.188411	1429.108859
146	1219.883235	1639.047796
147	1219.883235	1775.844382
148	1219.883235	1902.802921
149	1221.841105	2099.694761
150	1222.848547	2248.757695
151	1223.706007	2469.494505
152	1224.333437	2644.159112
153	1225.270806	2937.413435
